Origin,City1,City2,City3,Duration1,Duration2,Duration3,Connection1,Connection2,Connection3,Connection4,Time1,Time2,Time3,Time4,Budget1,Budget2,Budget3
Guwahati,Shillong,Tripura,Kaziranga,3,5,3,Guwahati - Tripura,Shillong - Kaziranga,Kaziranga - Guwahati,Tripura - Shillong,6,5,7,7,7000,5000,4000
Bangalore,Hampi,Coorg,Tirupati,4,3,4,Bangalore - Coorg,Hampi - Tirupati,Coorg - Bangalore,Tirupati - Hampi,6,2,10,4,7000,8000,3000
Srinagar,Gulmarg,Vaishnodevi,Leh,3,7,2,Srinagar - Vaishnodevi,Gulmarg - Leh,Vaishnodevi - Srinagar,Leh - Gulmarg,9,10,10,6,10000,12000,13000
Dehradun,Rishikesh,Mussoorie,Haridwar,2,7,4,Dehradun - Mussoorie,Rishikesh - Haridwar,Mussoorie - Dehradun,Haridwar - Rishikesh,8,6,10,5,9000,5000,10000
Hyderabad,Warangal,Vijayawada,Visakhapatnam,3,4,6,Hyderabad - Vijayawada,Warangal - Visakhapatnam,Vijayawada - Hyderabad,Visakhapatnam - Warangal,8,5,7,7,7000,3000,7000
Kozhikode,Coonoor,Ernakulam,Courtallam,4,5,6,Kozhikode - Ernakulam,Coonoor - Courtallam,Ernakulam - Kozhikode,Courtallam - Coonoor,8,7,4,7,6000,8000,4000
Ch-igarh,Panipat,Patiala,Sirsa,2,7,3,Ch-igarh - Patiala,Panipat - Sirsa,Patiala - Ch-igarh,Sirsa - Panipat,6,2,5,2,7000,5000,8000
Shimla,Manali,Dharamsala,Dalhousie,3,5,4,Shimla - Dharamsala,Manali - Dalhousie,Dharamsala - Shimla,Dalhousie - Manali,8,2,8,2,7000,4000,6500
Ahmedabad,Ch-igarh,Srinagar,G-hinagar,5,3,5,Ahmedabad - Srinagar,Ch-igarh - G-hinagar,Srinagar - Ahmedabad,G-hinagar - Ch-igarh,3,8,4,9,7000,6000,5000
Lucknow,Patna,Ranchi,Raipur,4,5,2,Lucknow - Ranchi,Patna - Raipur,Ranchi - Lucknow,Raipur - Patna,6,7,6,5,8000,10000,4000
Chennai,Coimbatore,Bengaluru,Kochi,5,6,6,Chennai - Bengaluru,Coimbatore - Kochi,Bengaluru - Chennai,Kochi - Coimbatore,5,5,4,6,7000,8000,4000
Bangalore,Mangaluru,Udupi,Hubballi,4,7,2,Bangalore - Udupi,Mangaluru - Hubballi,Udupi - Bangalore,Hubballi - Mangaluru,8,3,9,7,8000,12000,4000
Mumbai,Panaji,Kolhapur,Solapur,5,4,5,Mumbai - Kolhapur,Panaji - Solapur,Kolhapur - Mumbai,Solapur - Panaji,2,10,8,4,7000,8000,5000
Noida,Mathura,Gurugram,Aligarh,2,5,4,Noida - Gurugram,Mathura - Aligarh,Gurugram - Noida,Aligarh - Mathura,5,2,8,7,3500,6000,7000
Jodhpur,Jaisalmer,Mount Abu,Udaipur,3,7,2,Jodhpur - Mount Abu,Jaisalmer - Udaipur,Mount Abu - Jodhpur,Udaipur - Jaisalmer,2,4,5,5,7000,8000,9000
Jaipur,Kota,Ajmer,Ahmedabad,3,3,2,Jaipur - Ajmer,Kota - Ahmedabad,Ajmer - Jaipur,Ahmedabad - Kota,10,4,7,2,6000,4000,8000
Ahmedabad,Vadodara,Surat,Nashik,2,3,1,Ahmedabad - Surat,Vadodara - Nashik,Surat - Ahmedabad,Nashik - Vadodara,7,9,6,5,5000,1000,4000
Indore,Nagpur,Bilaspur,Patna,3,3,2,Indore - Bilaspur,Nagpur - Patna,Bilaspur - Indore,Patna - Nagpur,6,4,10,8,4000,10000,5000
