Origin,City1,City2,City3,City4,City5,Duration1,Duration2,Duration3,Duration4,Duration5,Connection1,Connection2,Connection3,Connection4,Connection5,Connection6,Time1,Time2,Time3,Time4,Time5,Time6,Budget1,Budget2,Budget3,Budget4,Budget5
Murshidabad,Mayapur,Berhampore,Chapai,Darjeeling,Siliguri,9,6,2,5,7,Murshidabad-Darjeeling,Mayapur-Siliguri,Berhampore-Murshidabad,Chapai-Mayapur,Darjeeling-Berhampore,Siliguri-Chapai,14,4,15,12,8,12,11000,9000,9500,7000,8000
Bargi,Narsinghpur,Deori,Rehli,Patharia,Jabalpur,11,12,5,2,6,Bargi-Rehli,Narsinghpur-Jabalpur,Deori-Bargi,Rehli-Narsinghpur,Patharia-Deori,Jabalpur-Patharia,3,7,18,15,2,11,8000,4500,2000,3000,5500
Hata,Kundalpur,Bhimkund,Batyagarh,Kandua,Rewa,15,9,6,4,7,Hata-Batyagarh,Kundalpur-Rewa,Bhimkund-Hata,Batyagarh-Kundalpur,Kandua-Bhimkund,Rewa-Kandua,18,8,5,8,11,16,5000,4500,3000,2500,4000
Kanyakumari,Thiruvananthapuram,Kovalam,Alappuzha,Courtallam,Varkala,12,10,5,8,6,Kanyakumari-Alappuzha,Thiruvananthapuram-Varkala,Kovalam-Kanyakumari,Alappuzha-Thiruvananthapuram,Courtallam-Kovalam,Varkala-Courtallam,12,6,11,7,4,16,10000,7000,9500,6500,5500
Madurai,Ernakulam,Kodaikanal,Keralamonal,Tiruchirappalli,Coimbatore,7,4,7,4,5,Madurai-Tiruchirappalli,Ernakulam-Coimbatore,Kodaikanal-Madurai,Keralamonal-Ernakulam,Tiruchirappalli-Kodaikanal,Coimbatore-Keralamonal,19,4,9,13,19,4,10500,8000,7500,12000,9000
Thanjavur,Ooty,Coonoor,Chidambaram,Puducherry,Mahabalipuram,14,4,4,6,5,Thanjavur-Puducherry,Ooty-Mahabalipuram,Coonoor-Thanjavur,Chidambaram-Ooty,Puducherry-Coonoor,Mahabalipuram-Chidambaram,3,7,11,10,6,19,5000,3000,10500,4500,6000
Bangalore,Tirupati,Halebidu,Hampi,Goa,Mysuru,6,12,4,7,5,Bangalore-Hampi,Tirupati-Mysuru,Halebidu-Bangalore,Hampi-Tirupati,Goa-Halebidu,Mysuru-Goa,3,11,17,13,15,20,6500,10000,11000,5500,7000
Panaji,Belagavi,Vijayawada,Hyderabad,Warangal,Kolhapur,6,6,6,3,5,Panaji-Warangal,Belagavi-Kolhapur,Vijayawada-Panaji,Hyderabad-Belagavi,Warangal-Vijayawada,Kolhapur-Hyderabad,7,20,13,3,14,16,8000,6500,6000,4000,5500
Panchgani,Mahabaleshwar,Harnai,Lonavala,Pune,Jaipur,9,5,7,6,4,Panchgani-Lonavala,Mahabaleshwar-Pune,Harnai-Panchgani,Lonavala-Mahabaleshwar,Pune-Harnai,Pune-Jaipur,20,14,4,16,11,17,5500,5000,6000,6500,7000
Shirdi,Ellora,Aurangabad,Ajanta,Saputara,Nashik,7,4,8,7,5,Shirdi-Ajanta,Ellora-Nashik,Aurangabad-Shirdi,Ajanta-Ellora,Saputara-Aurangabad,Nashik-Saputara,14,20,5,6,13,16,2500,10500,6000,7000,5000
Surat,Palitana,Somnath,Gondal,Bhuj,Vadodara,10,6,6,5,7,Surat-Gondal,Palitana-Vadodara,Somnath-Surat,Gondal-Palitana,Bhuj-Somnath,Vadodara-Bhuj,11,15,10,12,6,8,2500,10500,12000,8000,6500
Ahmedabad,Gandhinagar,Ujjain,Udaipur,Chitrakoot,Jaipur,2,3,9,8,6,Ahmedabad-Chitrakoot,Gandhinagar-Jaipur,Ujjain-Ahmedabad,Udaipur-Gandhinagar,Chitrakoot-Ujjain,Jaipur-Udaipur,3,9,17,16,15,15,5500,9000,5000,8500,7500
Indore,Ranakpur,Jodhpur,Mount Abu,Jaisalmer,Ajmer,14,8,9,9,7,Indore-Jaisalmer,Ranakpur-Ajmer,Jodhpur-Indore,Mount Abu-Ranakpur,Jaisalmer-Jodhpur,Ajmer-Mount Abu,20,3,5,14,9,6,11000,7500,6000,11000,8000
Pushkar,Bikaner,Ajmer,Ranthambore,Bundi,Chittorgarh,8,9,3,8,6,Pushkar-Ranthambore,Bikaner-Chittorgarh,Ajmer-Pushkar,Ranthambore-Bikaner,Bundi-Ajmer,Chittorgarh-Bundi,12,11,16,19,13,20,8500,8000,5500,11000,6500
Jaipur,Sariska,Bikaner,Corbett,Haridwar,Rishikesh,3,11,8,7,5,Jaipur-Haridwar,Sariska-Rishikesh,Bikaner-Jaipur,Corbett-Sariska,Haridwar-Bikaner,Rishikesh-Corbett,9,11,5,2,4,15,7000,10000,10500,12000,5500
Chandigarh,Hamirpur,Amritsar,Dharamshala,Dalhousie,Pathankot,8,13,5,5,6,Chandigarh-Dalhousie,Hamirpur-Pathankot,Amritsar-Chandigarh,Dharamshala-Hamirpur,Dalhousie-Amritsar,Pathankot-Dharamshala,6,20,13,7,16,9,8000,4000,9000,3000,5000
Vaishno Devi,Gulmarg,Srinagar,Leh,Ladakh,Pahalgam,15,4,4,4,6,Vaishno Devi-Ladakh,Gulmarg-Pahalgam,Srinagar-Vaishno Devi,Leh-Gulmarg,Ladakh-Srinagar,Pahalgam-Leh,20,8,10,19,5,8,10500,7500,2500,4000,6000
Amarnath,Chamba,Manali,Kullu,Shimla,Dalhousie,7,12,6,7,5,Amarnath-Kullu,Chamba-Dalhousie,Manali-Amarnath,Kullu-Chamba,Shimla-Manali,Dalhousie-Shimla,8,2,18,17,11,19,2000,8500,6500,2500,4500
Dispur,Shillong,Guwahati,Tawang,Along,Kaziranga,13,10,9,8,7,Dispur-Along,Shillong-Kaziranga,Guwahati-Dispur,Tawang-Shillong,Along-Guwahati,Kaziranga-Tawang,15,9,6,11,8,7,3000,5000,3000,7500,5500
Imphal,Kaziranga,Darjeeling,Gangtok,Itanagar,Kohima,11,3,5,5,6,Imphal-Itanagar,Kaziranga-Kohima,Darjeeling-Imphal,Gangtok-Kaziranga,Itanagar-Darjeeling,Kohima-Gangtok,13,6,15,12,9,5,3500,8000,3000,8000,5000
Manas,Cherrapunji,Yuksom,Pelling,Ziro,Dibrugarh,2,3,4,6,5,Manas-Pelling,Cherrapunji-Dibrugarh,Yuksom-Manas,Pelling-Cherrapunji,Ziro-Yuksom,Dibrugarh-Ziro,10,13,12,19,20,20,5000,2000,9500,10000,6500
Kohima,Haflong,Gorakhpur,Ayodhya,Allahabad,Lucknow,7,12,7,5,6,Kohima-Allahabad,Haflong-Lucknow,Gorakhpur-Kohima,Ayodhya-Haflong,Allahabad-Gorakhpur,Lucknow-Ayodhya,18,8,4,6,17,11,8000,8000,4000,7000,6000
Varanasi,Bodh Gaya,Dhanbad,Nalanda,Patna,Gaya,12,8,8,6,5,Varanasi-Nalanda,Bodh Gaya-Gaya,Dhanbad-Varanasi,Nalanda-Bodh Gaya,Patna-Dhanbad,Gaya-Patna,7,19,5,13,2,5,8000,3500,5500,3500,4500
Kolkata,Dhanbad,Rourkela,Bilaspur,Puri,Cuttack,3,8,8,3,5,Kolkata-Bilaspur,Dhanbad-Cuttack,Rourkela-Kolkata,Bilaspur-Dhanbad,Puri-Rourkela,Cuttack-Puri,12,19,13,15,5,18,6000,3000,6000,10000,4500
